player 1,player 2,games played,win count,lose count,winrate
Carl3,Menander,25,21,4,0.84
Carl3,grandelich,27,22,5,0.8148148148148148
Carl3,Ncling,43,35,8,0.813953488372093
IBeSleepy,thePiedPiper,20,16,4,0.8
Carl3,Zerosun,61,48,13,0.7868852459016393
Bliitzii,Ncling,23,18,5,0.782608695652174
Bliitzii,thePiedPiper,23,18,5,0.782608695652174
Amelek,Carl3,23,18,5,0.782608695652174
Carl3,thePiedPiper,66,51,15,0.7727272727272727
Carl3,jumbobillybob,39,30,9,0.7692307692307693
Jimmy50,L4m3ness,26,20,6,0.7692307692307693
L4m3ness,Zerosun,30,23,7,0.7666666666666667
Maric_,Zerosun,47,36,11,0.7659574468085106
Carl3,Wazowski_,21,16,5,0.7619047619047619
Carl3,Jimmy50,46,35,11,0.7608695652173914
Carl3,cliff_build,24,18,6,0.75
Dr_Claw,cliff_build,20,15,5,0.75
Carl3,Maric_,54,40,14,0.7407407407407407
Carl3,cojito,37,27,10,0.7297297297297297
Bliitzii,Maric_,22,16,6,0.7272727272727273
Carl3,morganc,44,32,12,0.7272727272727273
Clutch331,Menander,22,16,6,0.7272727272727273
L4m3ness,qkratxa,22,16,6,0.7272727272727273
Dr_Claw,Smilingnasa,22,16,6,0.7272727272727273
Carl3,whittal,40,29,11,0.725
L4m3ness,thePiedPiper,29,21,8,0.7241379310344828
PaveV,proxc,25,18,7,0.72
cliff_build,thePiedPiper,25,18,7,0.72
Menander,morganc,32,23,9,0.71875
Carl3,proxc,32,23,9,0.71875
Ncling,cojito,21,15,6,0.7142857142857143
joschua725,thePiedPiper,21,15,6,0.7142857142857143
Bliitzii,Jimmy50,28,20,8,0.7142857142857143
Dr_Claw,Ncling,28,20,8,0.7142857142857143
ppvale,thePiedPiper,21,15,6,0.7142857142857143
Clutch331,Zerosun,52,37,15,0.7115384615384616
Jimmy50,cojito,38,27,11,0.7105263157894737
RedRafe,thePiedPiper,31,22,9,0.7096774193548387
Carl3,Walross123,24,17,7,0.7083333333333334
Carl3,justbob333,82,58,24,0.7073170731707317
cojito,thesoldier57,34,24,10,0.7058823529411765
Dr_Claw,kingofgugu,34,24,10,0.7058823529411765
Zerosun,greg-innovator,27,19,8,0.7037037037037037
IBeSleepy,Zerosun,27,19,8,0.7037037037037037
Amelek,thesoldier57,27,19,8,0.7037037037037037
Ncling,thesoldier57,37,26,11,0.7027027027027027
Jimmy50,Razgriz1711,30,21,9,0.7
Jimmy50,Maric_,40,28,12,0.7
Carl3,Razgriz1711,30,21,9,0.7
Carl3,POzilGeR,30,21,9,0.7
Dr_Claw,Eagle34,30,21,9,0.7
Jimmy50,whittal,33,23,10,0.696969696969697
Clutch331,Ncling,23,16,7,0.6956521739130435
Carl3,next_pro100_pro,23,16,7,0.6956521739130435
PaveV,thePiedPiper,52,36,16,0.6923076923076923
Jimmy50,qkratxa,39,27,12,0.6923076923076923
Carl3,ppvale,26,18,8,0.6923076923076923
Bliitzii,Zerosun,29,20,9,0.6896551724137931
Carl3,joschua725,29,20,9,0.6896551724137931
Jimmy50,Zerosun,61,42,19,0.6885245901639344
Zerosun,thePiedPiper,67,46,21,0.6865671641791045
Carl3,JuanMore,51,35,16,0.6862745098039216
Clutch331,Jimmy50,35,24,11,0.6857142857142857
Zerosun,wu524209138,22,15,7,0.6818181818181818
Arktischerozean,Carl3,22,15,7,0.6818181818181818
Carl3,bisti__,22,15,7,0.6818181818181818
Bliitzii,Clutch331,25,17,8,0.68
Maric_,morganc,31,21,10,0.6774193548387096
Bliitzii,Carl3,34,23,11,0.6764705882352942
Carl3,Eagle34,49,33,16,0.673469387755102
Clutch331,thePiedPiper,49,33,16,0.673469387755102
Jimmy50,Straightener,52,35,17,0.6730769230769231
Carl3,Dr_Claw,52,35,17,0.6730769230769231
Arktischerozean,Jimmy50,33,22,11,0.6666666666666666
Carl3,Clutch331,33,22,11,0.6666666666666666
Carl3,Straightener,48,32,16,0.6666666666666666
Maric_,PaveV,36,24,12,0.6666666666666666
Clutch331,developer,30,20,10,0.6666666666666666
greg-innovator,thePiedPiper,21,14,7,0.6666666666666666
Straightener,proxc,21,14,7,0.6666666666666666
jumbobillybob,thesoldier57,33,22,11,0.6666666666666666
Bliitzii,Dr_Claw,21,14,7,0.6666666666666666
Carl3,RuneBoggler,27,18,9,0.6666666666666666
Jimmy50,MartinMaxKing,27,18,9,0.6666666666666666
Carl3,Smilingnasa,21,14,7,0.6666666666666666
Amelek,Dr_Claw,33,22,11,0.6666666666666666
Jimmy50,thePiedPiper,59,39,20,0.6610169491525424
Carl3,qkratxa,47,31,16,0.6595744680851063
Jimmy50,gabrielchl,38,25,13,0.6578947368421053
Bliitzii,sticklord,35,23,12,0.6571428571428571
Carl3,TODY12321,32,21,11,0.65625
Clutch331,Straightener,26,17,9,0.6538461538461539
Ncling,Straightener,26,17,9,0.6538461538461539
Carl3,greg-innovator,26,17,9,0.6538461538461539
cojito,qkratxa,23,15,8,0.6521739130434783
jasongros619,jumbobillybob,23,15,8,0.6521739130434783
Amelek,Friendly_Fire,23,15,8,0.6521739130434783
Straightener,teomarx,20,13,7,0.65
Dr_Claw,proxc,20,13,7,0.65
Walross123,califerbopbop,20,13,7,0.65
Razgriz1711,thePiedPiper,37,24,13,0.6486486486486487
Carl3,RedRafe,37,24,13,0.6486486486486487
Jimmy50,Menander,37,24,13,0.6486486486486487
Arktischerozean,PaveV,31,20,11,0.6451612903225806
Jimmy50,massiveblue,31,20,11,0.6451612903225806
VortexT,thesoldier57,31,20,11,0.6451612903225806
Eagle34,PaveV,31,20,11,0.6451612903225806
Carl3,IBeSleepy,31,20,11,0.6451612903225806
Dr_Claw,IBeSleepy,31,20,11,0.6451612903225806
qkratxa,thePiedPiper,59,38,21,0.6440677966101694
Bliitzii,RedRafe,28,18,10,0.6428571428571429
Carl3,califerbopbop,67,43,24,0.6417910447761194
Jimmy50,PaveV,64,41,23,0.640625
PaveV,Zerosun,64,41,23,0.640625
Jimmy50,morganc,50,32,18,0.64
Straightener,cojito,25,16,9,0.64
Straightener,kingofgugu,25,16,9,0.64
Dr_Claw,RedRafe,25,16,9,0.64
