player 1,games played,win count,lose count,winrate
FluffySan,26,20,6,0.7692307692307693
FullFruntall,33,25,8,0.7575757575757576
PeenPapi,28,21,7,0.75
Fire3231,26,19,7,0.7307692307692307
THEBABEO,20,14,6,0.7
blackzero484,21,14,7,0.6666666666666666
Carl3,229,151,78,0.6593886462882096
tryllebnnen,35,23,12,0.6571428571428571
gabl22,20,13,7,0.65
Jimmy50,209,130,79,0.6220095693779905
floortiler,29,18,11,0.6206896551724138
Wietlol,21,13,8,0.6190476190476191
Arktischerozean,77,47,30,0.6103896103896104
hoch2oh,51,31,20,0.6078431372549019
Bliitzii,89,54,35,0.6067415730337079
shadewolf,20,12,8,0.6
moburg34,30,18,12,0.6
thePiedPiper,207,123,84,0.5942028985507246
cojito,101,60,41,0.594059405940594
VortexT,66,39,27,0.5909090909090909
Wazowski_,46,27,19,0.5869565217391305
Treeck0,36,21,15,0.5833333333333334
IBeSleepy,91,53,38,0.5824175824175825
Pistachio.,38,22,16,0.5789473684210527
darkenade,26,15,11,0.5769230769230769
Bzock,26,15,11,0.5769230769230769
Menander,108,62,46,0.5740740740740741
ppvale,63,36,27,0.5714285714285714
Zerosun,212,121,91,0.5707547169811321
L4m3ness,60,34,26,0.5666666666666667
agent_cupcake,23,13,10,0.5652173913043478
proxc,82,46,36,0.5609756097560976
Maric_,147,82,65,0.5578231292517006
Ncling,113,63,50,0.5575221238938053
whittal,120,66,54,0.55
greg-innovator,71,39,32,0.5492957746478874
Busdriver1,33,18,15,0.5454545454545454
cliff_build,66,36,30,0.5454545454545454
Dr_Claw,151,82,69,0.543046357615894
Zymoran,24,13,11,0.5416666666666666
gsquaredxc,24,13,11,0.5416666666666666
Walross123,48,26,22,0.5416666666666666
OneBadPanda,37,20,17,0.5405405405405406
Straightener,152,82,70,0.5394736842105263
Sanello,26,14,12,0.5384615384615384
grandelich,56,30,26,0.5357142857142857
MeepeLuke,28,15,13,0.5357142857142857
Smilingnasa,56,30,26,0.5357142857142857
thesoldier57,234,124,110,0.5299145299145299
Clutch331,151,80,71,0.5298013245033113
Eagle34,95,50,45,0.5263157894736842
RedRafe,97,51,46,0.5257731958762887
joschua725,92,48,44,0.5217391304347826
wyspar,23,12,11,0.5217391304347826
morganc,146,76,70,0.5205479452054794
mgfist,50,26,24,0.52
Virus0056,52,27,25,0.5192307692307693
bisti__,58,30,28,0.5172413793103449
ruetama,29,15,14,0.5172413793103449
PaveV,204,105,99,0.5147058823529411
qkratxa,179,92,87,0.5139664804469274
ZakStam,37,19,18,0.5135135135135135
cogito123,55,28,27,0.509090909090909
GuidoCram,91,46,45,0.5054945054945055
PlumpCat,50,25,25,0.5
mysticamber,26,13,13,0.5
kravenstriker,42,21,21,0.5
Lowerdark,30,15,15,0.5
King...Crimson,40,20,20,0.5
Amelek,78,39,39,0.5
facere,28,14,14,0.5
Vogrov,30,15,15,0.5
HeightsGamer,24,12,12,0.5
Ragnarok77,24,12,12,0.5
developer,115,57,58,0.4956521739130435
Razgriz1711,107,53,54,0.4953271028037383
Friendly_Fire,85,42,43,0.49411764705882355
jumbobillybob,110,54,56,0.4909090909090909
mircoboy,49,24,25,0.4897959183673469
POzilGeR,90,44,46,0.4888888888888889
itsmarkytime,45,22,23,0.4888888888888889
