player 1,player 2,player 3,games played,win count,lose count,winrate
Carl3,Ncling,justbob333,21,19,2,0.9047619047619048
PaveV,Zerosun,thePiedPiper,20,17,3,0.85
Carl3,justbob333,thePiedPiper,31,26,5,0.8387096774193549
Jimmy50,Zerosun,thePiedPiper,23,19,4,0.8260869565217391
Carl3,Zerosun,justbob333,23,19,4,0.8260869565217391
Carl3,Maric_,thesoldier57,22,18,4,0.8181818181818182
Carl3,califerbopbop,thePiedPiper,20,16,4,0.8
Carl3,thePiedPiper,thesoldier57,24,19,5,0.7916666666666666
Maric_,Zerosun,thePiedPiper,23,18,5,0.782608695652174
Carl3,Zerosun,thesoldier57,23,18,5,0.782608695652174
Zerosun,justbob333,thePiedPiper,26,20,6,0.7692307692307693
Carl3,justbob333,morganc,21,16,5,0.7619047619047619
Carl3,Zerosun,califerbopbop,21,16,5,0.7619047619047619
Carl3,Zerosun,thePiedPiper,25,19,6,0.76
Carl3,sticklord,thePiedPiper,25,19,6,0.76
Carl3,Fordeka,thePiedPiper,20,15,5,0.75
Carl3,Maric_,thePiedPiper,27,20,7,0.7407407407407407
Zerosun,morganc,thePiedPiper,23,17,6,0.7391304347826086
Maric_,Zerosun,thesoldier57,21,15,6,0.7142857142857143
Carl3,jasongros619,thePiedPiper,21,15,6,0.7142857142857143
Fordeka,Maric_,thesoldier57,21,15,6,0.7142857142857143
Dr_Claw,PaveV,Zerosun,21,15,6,0.7142857142857143
Maric_,Zerosun,justbob333,20,14,6,0.7
Zerosun,qkratxa,thePiedPiper,23,16,7,0.6956521739130435
Maric_,thePiedPiper,thesoldier57,23,16,7,0.6956521739130435
Carl3,justbob333,thesoldier57,26,18,8,0.6923076923076923
Carl3,Fordeka,justbob333,26,18,8,0.6923076923076923
Carl3,Dr_Claw,thesoldier57,26,18,8,0.6923076923076923
Carl3,Maric_,justbob333,29,20,9,0.6896551724137931
Dr_Claw,califerbopbop,thesoldier57,29,20,9,0.6896551724137931
Carl3,Dr_Claw,jasongros619,22,15,7,0.6818181818181818
Carl3,PaveV,justbob333,25,17,8,0.68
Fordeka,Zerosun,thesoldier57,25,17,8,0.68
Carl3,justbob333,sticklord,28,19,9,0.6785714285714286
PaveV,Zerosun,kingofgugu,21,14,7,0.6666666666666666
PaveV,Zerosun,thesoldier57,24,16,8,0.6666666666666666
Fordeka,justbob333,thePiedPiper,21,14,7,0.6666666666666666
Carl3,Maric_,sticklord,21,14,7,0.6666666666666666
Fordeka,thePiedPiper,thesoldier57,24,16,8,0.6666666666666666
Carl3,justbob333,neuro666,29,19,10,0.6551724137931034
Carl3,califerbopbop,sticklord,23,15,8,0.6521739130434783
PaveV,justbob333,thePiedPiper,23,15,8,0.6521739130434783
Maric_,Zerosun,califerbopbop,23,15,8,0.6521739130434783
Carl3,JuanMore,PaveV,23,15,8,0.6521739130434783
Jimmy50,Zerosun,morganc,20,13,7,0.65
developer,neuro666,thePiedPiper,20,13,7,0.65
Clutch331,Zerosun,justbob333,20,13,7,0.65
PaveV,Zerosun,sticklord,20,13,7,0.65
Carl3,JuanMore,thesoldier57,20,13,7,0.65
